place_number;booking_weezpay_account;stall_name;drink_categories;food_types
627.04;2462-002;Stand de lequaiduport.ne;;;6.932879136941061, 46.990799261717854
732.14;2376-002;ASI AUDAX-FRIUL;min?rales, vins, bi?res, liquoreux, cocktails;;6.93040207144739, 46.99081226502676
198.07;2027-002;Stand de Tupani Besim;min?rales;Burgers;6.930603097284058, 46.99161807244434
780.08;2248-002;Sapori Italiani;min?rales, vins, bi?res, liquoreux, cocktails;Risotto;6.930131267555132, 46.991416594550685
198.11;2451-003;Stand Insieme / Perce-Neige;min?rales, vins, bi?res;Sandwich, Frites, Croque-Monsieur, Gaufres;6.9307609015328016, 46.99150105771362
732.12;2466-002;Stand ASI Audax F?minines;min?rales, vins, bi?res, liquoreux, cocktails;;6.930549047813504, 46.99091362495797
780.09;2175-002;Stand du FUN;min?rales, vins, bi?res, cocktails;Confiserie, Sandwich, tartelette, tartine, patisserie;6.929943434457271, 46.99114857724666
378.08;2214-002;Hotel du March?;;;6.928495961801573, 46.99091114733326
198.10;2274-002;Stand de Zymberi;;Churros, Cr?pes, Gaufres,  Marrons chauds;6.930457302581586, 46.991584333366625
780.01;2251-003;Stand du Brotary Club;min?rales, vins, bi?res, liquoreux, cocktails;;6.9306040778622515, 46.99148497533781
384.26;2186-003;Stand des Neuch?tel Knights;min?rales, vins, bi?res, liquoreux, cocktails;;6.929289750717474, 46.99188228347353
045.03;2303-003;Stand de willy bonnaval;min?rales, vins, bi?res, cocktails;Churros, Confiserie;6.930460775569949, 46.99029499156923
045.05;2359-002;Softice Neuch?tel;min?rales;Burgers, Confiserie, Cr?pes, Pizza, Sp?cialit?s Orientales, Glaces;6.930509598907147, 46.99025893667335
537.05;2167-002;Stand de Khayrallah Nassim;min?rales, vins, bi?res, liquoreux;;6.931759975957494, 46.990869059846055
378.10;2229-002;Stand de Catherine Reichl;;;6.928544029583126, 46.9909915680306
205.01;2227-002;Stand de Kaya Devrim;;;6.929638791261881, 46.99144613608627
